Village_Name,Block_Name,District_Name,State_Name,Pincode
DALAKWA DALKI,SONBARSA,SITAMARHI,BIHAR,843330
DUDHA,MAJHAULIA,PASHCHIM CHAMPARAN,BIHAR,845454
GANGWARA,RUNNI SAIDPUR,SITAMARHI,BIHAR,847303
J.S.JAMDIHA,KAPTIPADA,MAYURBHANJ,ODISHA,#N/A
KANAGAM,BORIGUMMA,KORAPUT,ODISHA,764056
KHAJURNI,SADAR,PRATAPGARH,UTTAR PRADESH,#N/A
KUMBHI AAEMA,SANGIPUR,PRATAPGARH,UTTAR PRADESH,#N/A
LIPNI,MAINATAND,PASHCHIM CHAMPARAN,BIHAR,845453
MARIPARA,RAIGHAR,NABARANGPUR,ODISHA,764074
MUJANG,DASMANTPUR,KORAPUT,ODISHA,765013
NAWAGAON,JHINKPANI,PASHCHIMI SINGHBHUM,JHARKHAND,833215
NOTO,KAPTIPADA,MAYURBHANJ,ODISHA,#N/A
REWARATU,SATBARWA,PALAMU,JHARKHAND,822126
RULHI NIZAMAT,MAJHAULIA,PASHCHIM CHAMPARAN,BIHAR,845454
SAHIARA,BATHNAHA,SITAMARHI,BIHAR,843332
SANKUMARI,UMERKOTE,NABARANGPUR,ODISHA,764073
SARAI JMUAARI,MANGRAURA,PRATAPGARH,UTTAR PRADESH,#N/A
SHYAMPUR KOTRAHA,NAUTAN,PASHCHIM CHAMPARAN,BIHAR,845459
SUJAKHAR,SANGIPUR,PRATAPGARH,UTTAR PRADESH,#N/A
TANGRAPALA,PAPADAHANDI,NABARANGPUR,ODISHA,#N/A
TARAGAM,UMERKOTE,NABARANGPUR,ODISHA,764059
TARAGAM,KOSAGUMUDA,NABARANGPUR,ODISHA,764059
AASHOG,RAMPUR-SANGRAMGARH,PRATAPGARH,UTTAR PRADESH,#N/A
AKHARISHAH PUR,MEJA,ALLAHABAD,UTTAR PRADESH,#N/A
ANDRUGUDA,NANDAPUR,KORAPUT,ODISHA,#N/A
ANTU DEHAT,SADWA-CHANDRIKA,PRATAPGARH,UTTAR PRADESH,#N/A
AORANGABAD,MANGRAURA,PRATAPGARH,UTTAR PRADESH,#N/A
ARAR,CHHATARPUR,PALAMU,JHARKHAND,822113
ASANWA,SANGIPUR,PRATAPGARH,UTTAR PRADESH,#N/A
ASHANWA,JASARA,ALLAHABAD,UTTAR PRADESH,#N/A
BAHAR MENGRA,TENTULIKHUNTI,NABARANGPUR,ODISHA,764069
BARAGUDA,JHARIGAM,NABARANGPUR,ODISHA,763008
BASTI KHAS,BABHANJOT,GONDA,UTTAR PRADESH,#N/A
BATHUARA,PARIHAR,SITAMARHI,BIHAR,843324
BHADURPUR,KUNDA,PRATAPGARH,UTTAR PRADESH,#N/A
BHALUAHA,SONBARSA,SITAMARHI,BIHAR,843302
BHANA CHAK,MAJHAULIA,PASHCHIM CHAMPARAN,BIHAR,845454
BHOLGHATI,MORADA,MAYURBHANJ,ODISHA,757018
BINAYAPUR,RAIGHAR,NABARANGPUR,ODISHA,764074
BIRIPUR,RAIGHAR,NABARANGPUR,ODISHA,#N/A
CHAK BARA,CHAKIA,PURBA CHAMPARAN,BIHAR,#N/A
CHAMWALIA,BAGAHA-II (SIDHAW),PASHCHIM CHAMPARAN,BIHAR,845101
CHHATARLA(CHOTORLA),KOTPAD,KORAPUT,ODISHA,764058
DAKARA,KORAPUT,KORAPUT,ODISHA,#N/A
DUARIKA,PANKI,PALAMU,JHARKHAND,822122
GARAIYA LONI PAR,SHANKAR GARH,ALLAHABAD,UTTAR PRADESH,#N/A
GORAHANDI,KUNDRA,KORAPUT,ODISHA,#N/A
HOTAI,PANKI,PALAMU,JHARKHAND,822118
JAINAGAR,SONBARSA,SITAMARHI,BIHAR,843317
JANIGUDA,BORIGUMMA,KORAPUT,ODISHA,764057
JANNIGUDA,BORIGUMMA,KORAPUT,ODISHA,764056
JEERA,NANDAPUR,KORAPUT,ODISHA,765025
JHADKUSUMI,PAPADAHANDI,NABARANGPUR,ODISHA,#N/A
JHINEI,KULIANA,MAYURBHANJ,ODISHA,#N/A
JORWAT,SHANKAR GARH,ALLAHABAD,UTTAR PRADESH,#N/A
KACHANPUR,CHHATARPUR,PALAMU,JHARKHAND,822113
KANKADAHANDI,JEYPORE,KORAPUT,ODISHA,764005
KAPANDA,JASHIPUR,MAYURBHANJ,ODISHA,757091
KARAGAM,UMERKOTE,NABARANGPUR,ODISHA,764072
KARLABEDA,UMERKOTE,NABARANGPUR,ODISHA,764072
KATHBHARI,TANTNAGAR,PASHCHIMI SINGHBHUM,JHARKHAND,833201
KHEMABEDA,BOIPARIGUDA,KORAPUT,ODISHA,764043
KHODAY PUR,PHOOLPUR,ALLAHABAD,UTTAR PRADESH,#N/A
KHUNTA,MEJA,ALLAHABAD,UTTAR PRADESH,833201
KIRITPUR TOLA INGLISH,HARSIDDHI,PURBA CHAMPARAN,BIHAR,#N/A
KOPENA,UMERKOTE,NABARANGPUR,ODISHA,764073
KUHUDIGAM,KOTPAD,KORAPUT,ODISHA,764058
KURIA,MAJHAULIA,PASHCHIM CHAMPARAN,BIHAR,845454
KURIYAWN,PARASPUR,GONDA,UTTAR PRADESH,#N/A
KURKUTA,CHHATARPUR,PALAMU,JHARKHAND,822113
LODI,PAPADAHANDI,NABARANGPUR,ODISHA,#N/A
MAHAMMADPUR MAJHAULIA,MEHSI,PURBA CHAMPARAN,BIHAR,#N/A
MAHULIYA,PATAN,PALAMU,JHARKHAND,822110
MAILVAN,PHOOLPUR,ALLAHABAD,UTTAR PRADESH,#N/A
MALI MARLA,SEMILIGUDA,KORAPUT,ODISHA,764036
MANJHARIA,BAGAHA-I,PASHCHIM CHAMPARAN,BIHAR,845106
MANSURA  BAD,KAURIHAR- I,ALLAHABAD,UTTAR PRADESH,#N/A
MATHPADA,BOIPARIGUDA,KORAPUT,ODISHA,764043
MOHANPUR ASADHA,ITIYATHOK,GONDA,UTTAR PRADESH,#N/A
MUNDIPODAR,KOTPAD,KORAPUT,ODISHA,#N/A
MURHA DIH,SONBARSA,SITAMARHI,BIHAR,843332
NAKTISEMADA,RAIGHAR,NABARANGPUR,ODISHA,764074
NARWAL,BAGAHA-II (SIDHAW),PASHCHIM CHAMPARAN,BIHAR,845105
NEHURUPALI,KOTPAD,KORAPUT,ODISHA,764058
NIRPUR KHAYALA,PARASPUR,GONDA,UTTAR PRADESH,#N/A
NUAGAN,BETNOTI,MAYURBHANJ,ODISHA,762021
OKARAHA,CHHATARPUR,PALAMU,JHARKHAND,822113
OLHA,HARSIDDHI,PURBA CHAMPARAN,BIHAR,#N/A
PAITIHA,KORAON,ALLAHABAD,UTTAR PRADESH,#N/A
PARSIYA,PANKI,PALAMU,JHARKHAND,815353
PHUTANADA,RAIGHAR,NABARANGPUR,ODISHA,#N/A
PIPRA KARIMDAD-11,PHENHARA,PURBA CHAMPARAN,BIHAR,#N/A
POKHARA,KOTWA,PURBA CHAMPARAN,BIHAR,#N/A
POORE MUSADDI,ITIYATHOK,GONDA,UTTAR PRADESH,#N/A
PURE JANAI,RAMPUR-SANGRAMGARH,PRATAPGARH,UTTAR PRADESH,#N/A
SADRE PUR,DHANUPUR,ALLAHABAD,UTTAR PRADESH,#N/A
SANKAR,POTTANGI,KORAPUT,ODISHA,#N/A
SEEDH TICKAT,SHANKAR GARH,ALLAHABAD,UTTAR PRADESH,#N/A
SEMBI,DASMANTPUR,KORAPUT,ODISHA,764028
SEMRI BHAWANIPUR,JOGAPATTI,PASHCHIM CHAMPARAN,BIHAR,845452
SHAHI PURA,DHANUPUR,ALLAHABAD,UTTAR PRADESH,#N/A
SHEIKHPUR DHANAPUR,KALAKANKER,PRATAPGARH,UTTAR PRADESH,#N/A
SIAMRIA KHURD,SIMARIA,CHATRA,JHARKHAND,#N/A
SILOKHARA,PHOOLPUR,ALLAHABAD,UTTAR PRADESH,#N/A
SORAUTHI,MANDA,ALLAHABAD,UTTAR PRADESH,#N/A
SUKIGAM,UMERKOTE,NABARANGPUR,ODISHA,764073
TAMILI,DASMANTPUR,KORAPUT,ODISHA,#N/A
TORENGA,UMERKOTE,NABARANGPUR,ODISHA,764072
VASUPUR,LALGANJ,PRATAPGARH,UTTAR PRADESH,271604
WAIJPUR,DHANUPUR,ALLAHABAD,UTTAR PRADESH,#N/A
WARD NO.17,SEMILIGUDA,KORAPUT,ODISHA,764003
AAAORIPUR,SANGIPUR,PRATAPGARH,UTTAR PRADESH,#N/A
ABUN,PANKI,PALAMU,JHARKHAND,822122
AKABAR SHAH PUR,KORAON,ALLAHABAD,UTTAR PRADESH,#N/A
AMTA (AMATA),BORIGUMMA,KORAPUT,ODISHA,764056
ANANTA,JEYPORE,KORAPUT,ODISHA,764005
ANDHRIPUR,KALAKANKER,PRATAPGARH,UTTAR PRADESH,#N/A
ANMULA,WAZIRGANJ,GONDA,UTTAR PRADESH,#N/A
ANNGADA,PRATAPPUR,CHATRA,JHARKHAND,#N/A
ARSEL,SIMARIA,CHATRA,JHARKHAND,#N/A
AURAUN,AASPUR-DEOSARA,PRATAPGARH,UTTAR PRADESH,#N/A
AUTARPUR,BIHAR,PRATAPGARH,UTTAR PRADESH,#N/A
BACHAIPUR,MUJEHNA,GONDA,UTTAR PRADESH,#N/A
BADAJIUNA,JEYPORE,KORAPUT,ODISHA,764002
BADGOHANA KALA,KAUNDHIYARA,ALLAHABAD,UTTAR PRADESH,#N/A
BADLEPUR,BELSAR,GONDA,UTTAR PRADESH,#N/A
BAGAIYA,CHHATARPUR,PALAMU,JHARKHAND,822113
BAHADURPUR,SHAMAKHUNTA,MAYURBHANJ,ODISHA,814152
BAHER KUAN,ITIYATHOK,GONDA,UTTAR PRADESH,#N/A
BAITHANIA,MAJHAULIA,PASHCHIM CHAMPARAN,BIHAR,845454
BAKSHI MODHA,KAUDIHAR II,ALLAHABAD,UTTAR PRADESH,#N/A
BALWA,CHAKIA,PURBA CHAMPARAN,BIHAR,815353
BAMINI,PAPADAHANDI,NABARANGPUR,ODISHA,764056
BANDARJHULA,SONBARSA,SITAMARHI,BIHAR,843317
BARAIN PURWA,HALDHARMAU,GONDA,UTTAR PRADESH,#N/A
BARAPASEYA,NOAMUNDI,PASHCHIMI SINGHBHUM,JHARKHAND,833218
BASATAL PUR,ITIYATHOK,GONDA,UTTAR PRADESH,#N/A
BAUHAN,CHAPIA,GONDA,UTTAR PRADESH,#N/A
BELBHARIYA,ITIYATHOK,GONDA,UTTAR PRADESH,271207
BELPUTI,KOSAGUMUDA,NABARANGPUR,ODISHA,764061
BEMARA,SHANKAR GARH,ALLAHABAD,UTTAR PRADESH,#N/A
BHADEWARA ..,MEJA,ALLAHABAD,UTTAR PRADESH,#N/A
BHALUKONADI,JHARIGAM,NABARANGPUR,ODISHA,764076
BHANTA WARI,CHORAUT,SITAMARHI,BIHAR,843320
BHARATGRAGH,BABAGANJ,PRATAPGARH,UTTAR PRADESH,#N/A
BHATA DHANSULI,PAPADAHANDI,NABARANGPUR,ODISHA,#N/A
BHITHA,PIPRA,PALAMU,JHARKHAND,822113
BIRIGURA,LAXMIPUR,KORAPUT,ODISHA,#N/A
BKHERWA,MANKAPUR,GONDA,UTTAR PRADESH,#N/A
BOBIYA,KOTPAD,KORAPUT,ODISHA,764055
BUDURAPARA,RAIGHAR,NABARANGPUR,ODISHA,#N/A
BULANDPUR URF HUSAINPUR,RUNNI SAIDPUR,SITAMARHI,BIHAR,843117
BURHHA,SANGIPUR,PRATAPGARH,UTTAR PRADESH,#N/A
BURUDUYA,GOELKERA,PASHCHIMI SINGHBHUM,JHARKHAND,833103
CHAKALAPADAR,JHARIGAM,NABARANGPUR,ODISHA,#N/A
CHAKARPETA,PHENHARA,PURBA CHAMPARAN,BIHAR,#N/A
CHANDA PUR..,KORAON,ALLAHABAD,UTTAR PRADESH,#N/A
CHAPARO,MEJA,ALLAHABAD,UTTAR PRADESH,#N/A
CHAPARTALA,MEJA,ALLAHABAD,UTTAR PRADESH,#N/A
CHAPSIL,KORAPUT,KORAPUT,ODISHA,#N/A
CHAUHATTA,RUPAIDEEH,GONDA,UTTAR PRADESH,845451
CHERCHETA,PAPADAHANDI,NABARANGPUR,ODISHA,764071
CHERKA,BOIPARIGUDA,KORAPUT,ODISHA,764043
CHIKHADI,PHOOLPUR,ALLAHABAD,UTTAR PRADESH,#N/A
CHORHAT,RAMGARH,PALAMU,JHARKHAND,822110
CHOWKHDA,CHHATARPUR,PALAMU,JHARKHAND,822113
DADAN PUR,KAUDIHAR II,ALLAHABAD,UTTAR PRADESH,#N/A
DADUPURRANSINGH,SADWA-CHANDRIKA,PRATAPGARH,UTTAR PRADESH,#N/A
DAMBARUDAHAR,BETNOTI,MAYURBHANJ,ODISHA,757052
DANDASORA,UMERKOTE,NABARANGPUR,ODISHA,764073
DARIDAG,TANDWA,CHATRA,JHARKHAND,#N/A
DASAIN,RUNNI SAIDPUR,SITAMARHI,BIHAR,843323
DEBARI KALA,MUJEHNA,GONDA,UTTAR PRADESH,#N/A
DEIDIH DHAURAHARA,PATTI,PRATAPGARH,UTTAR PRADESH,#N/A
DHADHAUA MEHANIYA,CHAPIA,GONDA,UTTAR PRADESH,#N/A
DHARLI,UMERKOTE,NABARANGPUR,ODISHA,#N/A
DHATIKIDIHA,THAKURMUNDA,MAYURBHANJ,ODISHA,#N/A
DHONOPUR,JEYPORE,KORAPUT,ODISHA,764002
DIHI KHURD,KORAON,ALLAHABAD,UTTAR PRADESH,#N/A
DISARIGUDA,BOIPARIGUDA,KORAPUT,ODISHA,764043
DOLIPADA,KAPTIPADA,MAYURBHANJ,ODISHA,#N/A
DOMA KALPI,PARASPUR,GONDA,UTTAR PRADESH,#N/A
DOSISOLE,BANGRIPOSI,MAYURBHANJ,ODISHA,#N/A
DULHAN PUR,ITIYATHOK,GONDA,UTTAR PRADESH,#N/A
DUMORPADAR,JHARIGAM,NABARANGPUR,ODISHA,#N/A
GADAVAKOTRA,PAPADAHANDI,NABARANGPUR,ODISHA,764071
GANSIYARI,MAUAIMA,ALLAHABAD,UTTAR PRADESH,#N/A
GENJNA,HUNTERGANJ,CHATRA,JHARKHAND,#N/A
GHATAM PUR,SADAR,PRATAPGARH,UTTAR PRADESH,#N/A
GIDIGHATY,BAHALDA,MAYURBHANJ,ODISHA,#N/A
GODGODIYA,LAWALONG,CHATRA,JHARKHAND,#N/A
GODRI,DASMANTPUR,KORAPUT,ODISHA,#N/A
GOGOR,BIHAR,PRATAPGARH,UTTAR PRADESH,#N/A
GOIESARA,SHANKAR GARH,ALLAHABAD,UTTAR PRADESH,#N/A
GOKARAN SHIVALA,RUPAIDEEH,GONDA,UTTAR PRADESH,#N/A
GOLHEYA,SHANKAR GARH,ALLAHABAD,UTTAR PRADESH,#N/A
GOPINATH PUR,CHAKRADHARPUR,PASHCHIMI SINGHBHUM,JHARKHAND,833102
GOUDABARIKANTA,DASMANTPUR,KORAPUT,ODISHA,#N/A
GUNDIJORA,NOAMUNDI,PASHCHIMI SINGHBHUM,JHARKHAND,833218
GUNJI,BOIPARIGUDA,KORAPUT,ODISHA,#N/A
HADAPA,JEYPORE,KORAPUT,ODISHA,#N/A
HARDULI,KOSAGUMUDA,NABARANGPUR,ODISHA,764061
HARIDAPUT,JEYPORE,KORAPUT,ODISHA,764055
HARRO,SHANKAR GARH,ALLAHABAD,UTTAR PRADESH,#N/A
HATIGEDA,BANDHUGAM,KORAPUT,ODISHA,#N/A
HEMA PUR,PHOOLPUR,ALLAHABAD,UTTAR PRADESH,#N/A
HIRI,RAIGHAR,NABARANGPUR,ODISHA,#N/A
HULSAM,CHHATARPUR,PALAMU,JHARKHAND,822113
INGIRA,UMERKOTE,NABARANGPUR,ODISHA,#N/A
ITAILA BUZURG,CHAPIA,GONDA,UTTAR PRADESH,#N/A
JAFRAPUR,BELSAR,GONDA,UTTAR PRADESH,#N/A
JAGNNATHPUR,LALGANJ,PRATAPGARH,UTTAR PRADESH,#N/A
JAMADA,JASHIPUR,MAYURBHANJ,ODISHA,757091
JANSHAWA,HANDIA,ALLAHABAD,UTTAR PRADESH,#N/A
JHAUHNA,HALDHARMAU,GONDA,UTTAR PRADESH,#N/A
JHAUNAHA,KATRA BAZAR,GONDA,UTTAR PRADESH,#N/A
JRIYARI,SANGIPUR,PRATAPGARH,UTTAR PRADESH,#N/A
JUGINANDA,JAGANNATHPUR,PASHCHIMI SINGHBHUM,JHARKHAND,833214
KACHNAPUR,COLONELGANJ,GONDA,UTTAR PRADESH,#N/A
KADA JAMDA,NOAMUNDI,PASHCHIMI SINGHBHUM,JHARKHAND,833212
KADLE,SIMARIA,CHATRA,JHARKHAND,#N/A
KAIDA,GOELKERA,PASHCHIMI SINGHBHUM,JHARKHAND,833104
KALAKADA,KARANJIA,MAYURBHANJ,ODISHA,#N/A
KAMAT,PANKI,PALAMU,JHARKHAND,822116
KAMATA,TENTULIKHUNTI,NABARANGPUR,ODISHA,764069
KANGA PUR,DHANUPUR,ALLAHABAD,UTTAR PRADESH,#N/A
KANJEIPATRAPUT,JEYPORE,KORAPUT,ODISHA,764003
KANTASOLA,BANGRIPOSI,MAYURBHANJ,ODISHA,#N/A
KASIABEDA,SARASKANA,MAYURBHANJ,ODISHA,#N/A
KATIA,LAWALONG,CHATRA,JHARKHAND,#N/A
KAUDIPARA,RAIGHAR,NABARANGPUR,ODISHA,764074
KECHUHA,KARCHHANA,ALLAHABAD,UTTAR PRADESH,#N/A
KELHAWA,PANKI,PALAMU,JHARKHAND,822122
KELLAR,LAXMIPUR,KORAPUT,ODISHA,765013
KERAVDIH,KALAKANKER,PRATAPGARH,UTTAR PRADESH,#N/A
KERKI KALA,CHHATARPUR,PALAMU,JHARKHAND,822113
KEWTA,SIMARIA,CHATRA,JHARKHAND,#N/A
KHADIKHANIA,KAPTIPADA,MAYURBHANJ,ODISHA,#N/A
KHAIRI MAL,CHAKIA,PURBA CHAMPARAN,BIHAR,#N/A
KHAJURI,PAPADAHANDI,NABARANGPUR,ODISHA,822113
KHAKHAPUR,GAURA,PRATAPGARH,UTTAR PRADESH,#N/A
KHANI PUR,SANGIPUR,PRATAPGARH,UTTAR PRADESH,#N/A
KHATAURA,RAMNAGAR,PASHCHIM CHAMPARAN,BIHAR,845106
KHOJHWA,BABHANJOT,GONDA,UTTAR PRADESH,#N/A
KHUJHI,JASARA,ALLAHABAD,UTTAR PRADESH,#N/A
KOLEGAON,JHARIGAM,NABARANGPUR,ODISHA,#N/A
KSWA LATIFPUR,RAMPUR-SANGRAMGARH,PRATAPGARH,UTTAR PRADESH,#N/A
KUKURBINDHA,PAPADAHANDI,NABARANGPUR,ODISHA,#N/A
KULADAHANI,SULIAPADA,MAYURBHANJ,ODISHA,757084
KUNDOULI,CHHATARPUR,PALAMU,JHARKHAND,822113
KUNDRUGUTU,BANDGAON,PASHCHIMI SINGHBHUM,JHARKHAND,835216
KUTUB PATTI,PHOOLPUR,ALLAHABAD,UTTAR PRADESH,#N/A
LACCHU CHHAPAR A.B.,CHANPATIA,PASHCHIM CHAMPARAN,BIHAR,845449
LAILOR,MANOHARPUR,PASHCHIMI SINGHBHUM,JHARKHAND,833104
LAKSHMIPUR,JOGAPATTI,PASHCHIM CHAMPARAN,BIHAR,845450
LALYIEA,SHANKAR GARH,ALLAHABAD,UTTAR PRADESH,#N/A
LAMATAGUDA,TENTULIKHUNTI,NABARANGPUR,ODISHA,764070
LIDEHNA GRANT,NAWAB GANJ,GONDA,UTTAR PRADESH,#N/A
LIMIKA,KORAPUT,KORAPUT,ODISHA,764021
LOHANG PATTI,SADWA-CHANDRIKA,PRATAPGARH,UTTAR PRADESH,#N/A
MADDAU DEORIA,BABHANJOT,GONDA,UTTAR PRADESH,#N/A
MADHAVPUR HATA,KATRA BAZAR,GONDA,UTTAR PRADESH,#N/A
MAHALIAPUT,JEYPORE,KORAPUT,ODISHA,#N/A
MAHARU PUR,SAIDABAD,ALLAHABAD,UTTAR PRADESH,#N/A
MAHUBHATTA,RAIGHAR,NABARANGPUR,ODISHA,764074
MAHUGAI,PRATAPPUR,CHATRA,JHARKHAND,822113
MAJHIA,JHARIGAM,NABARANGPUR,ODISHA,764063
MAKAPUT,KOTPAD,KORAPUT,ODISHA,#N/A
MALAWA KHURD,BAHADURPUR,ALLAHABAD,UTTAR PRADESH,#N/A
MALBEDA,UMERKOTE,NABARANGPUR,ODISHA,#N/A
MANBIR,JAMDA,MAYURBHANJ,ODISHA,757045
MANDAIR,TANDWA,CHATRA,JHARKHAND,#N/A
MANDIABANDHA,BORIGUMMA,KORAPUT,ODISHA,#N/A
MANHU,CHHATARPUR,PALAMU,JHARKHAND,822113
MATAGAM,UMERKOTE,NABARANGPUR,ODISHA,#N/A
MEHARBANA BAD,KATRA BAZAR,GONDA,UTTAR PRADESH,#N/A
MENDRA,DABUGAM,NABARANGPUR,ODISHA,#N/A
MENHA JAGEER,MANDA,ALLAHABAD,UTTAR PRADESH,#N/A
MERHUWA DEEH,GAURA,PRATAPGARH,UTTAR PRADESH,#N/A
MIRIMINDA,KOSAGUMUDA,NABARANGPUR,ODISHA,764061
MISRAULIYA,CHIRAIYA,PURBA CHAMPARAN,BIHAR,#N/A
MOHULI A/C,UMERKOTE,NABARANGPUR,ODISHA,764073
MOHULOBHOTA,JEYPORE,KORAPUT,ODISHA,764006
MUNDIGUDA,UMERKOTE,NABARANGPUR,ODISHA,764006
MUSHKA,MEJA,ALLAHABAD,UTTAR PRADESH,#N/A
NAKAHRA,NAWAB GANJ,GONDA,UTTAR PRADESH,#N/A
NANDAKA,NANDAPUR,KORAPUT,ODISHA,#N/A
NARAINPURKALA,GAURA,PRATAPGARH,UTTAR PRADESH,#N/A
NARASANDHA,RARUAN,MAYURBHANJ,ODISHA,#N/A
NARDA,PARASPUR,GONDA,UTTAR PRADESH,#N/A
NASHO,CHHATARPUR,PALAMU,JHARKHAND,822113
NASIR PATTI,PRATAP PUR,ALLAHABAD,UTTAR PRADESH,#N/A
NEIGAM,KOSAGUMUDA,NABARANGPUR,ODISHA,764058
NOONPANI,KOSAGUMUDA,NABARANGPUR,ODISHA,764075
OBRA,PANDU,PALAMU,JHARKHAND,822124
ODAPUR,DASMANTPUR,KORAPUT,ODISHA,764021
ORIYA KALA,LESLIGANJ,PALAMU,JHARKHAND,822118
OWAR,SADAR,PRATAPGARH,UTTAR PRADESH,#N/A
PACHENDA,MANDA,ALLAHABAD,UTTAR PRADESH,#N/A
PAKANAGUDA,UMERKOTE,NABARANGPUR,ODISHA,#N/A
PAKARIA,PANKI,PALAMU,JHARKHAND,845459
PALPUR,PAPADAHANDI,NABARANGPUR,ODISHA,764071
PARACHIPARA,RAIGHAR,NABARANGPUR,ODISHA,764088
PARNA BAGULHA,RUPAIDEEH,GONDA,UTTAR PRADESH,#N/A
PARSI,MANJHARI,PASHCHIMI SINGHBHUM,JHARKHAND,845455
PHATTU,POTTANGI,KORAPUT,ODISHA,#N/A
PHULABHATTA,DABUGAM,NABARANGPUR,ODISHA,#N/A
PHULIA KHAND,BAIRIA,PASHCHIM CHAMPARAN,BIHAR,845438
PIDWAT TARA,RUPAIDEEH,GONDA,UTTAR PRADESH,#N/A
PILIBORI,NARAYANAPATNA,KORAPUT,ODISHA,#N/A
PIPRI MANJHA,KATRA BAZAR,GONDA,UTTAR PRADESH,#N/A
PRAYAGWA,JOGAPATTI,PASHCHIM CHAMPARAN,BIHAR,845452
PRIYAWANA,BIHAR,PRATAPGARH,UTTAR PRADESH,#N/A
PUJARIBHARANDI,UMERKOTE,NABARANGPUR,ODISHA,764073
PURAB DOUAM,SANGIPUR,PRATAPGARH,UTTAR PRADESH,#N/A
PURE KHERA CHEMI,RAMPUR-SANGRAMGARH,PRATAPGARH,UTTAR PRADESH,#N/A
PURE VANSI,LALGANJ,PRATAPGARH,UTTAR PRADESH,#N/A
PURE VIJAI SINGH,SANGIPUR,PRATAPGARH,UTTAR PRADESH,#N/A
RABANAGUDA,DABUGAM,NABARANGPUR,ODISHA,764072
RAIN BISHUNI,RUNNI SAIDPUR,SITAMARHI,BIHAR,843328
RAJAPUR KHARHAR,SHIVGARH,PRATAPGARH,UTTAR PRADESH,#N/A
RAKHIKHURD,SATBARWA,PALAMU,JHARKHAND,822126
RAM NAGAR UMARI,MAUAIMA,ALLAHABAD,UTTAR PRADESH,#N/A
RAMNAGAR RASULPURAZ,SONBARSA,SITAMARHI,BIHAR,843330
RANI CHHAPRA,HARSIDDHI,PURBA CHAMPARAN,BIHAR,#N/A
RASUL PUR WARO,PHOOLPUR,ALLAHABAD,UTTAR PRADESH,#N/A
SAKHUANI,RAMNAGAR,PASHCHIM CHAMPARAN,BIHAR,845106
SAMAIDIHI,MORADA,MAYURBHANJ,ODISHA,757018
SANA OLMA,DABUGAM,NABARANGPUR,ODISHA,#N/A
SAND,GAURA,PRATAPGARH,UTTAR PRADESH,#N/A
SARAI SULTAN,BAHARIYA,ALLAHABAD,UTTAR PRADESH,#N/A
SARAUGARH,CHIRAIYA,PURBA CHAMPARAN,BIHAR,#N/A
SAYTABA,GOELKERA,PASHCHIMI SINGHBHUM,JHARKHAND,833102
SEHARIYA KALAN,KATRA BAZAR,GONDA,UTTAR PRADESH,#N/A
SEMARA SHEKHPUR,NAWAB GANJ,GONDA,UTTAR PRADESH,#N/A
SEMARI BAGHARAY,KORAON,ALLAHABAD,UTTAR PRADESH,#N/A
SHAMALI PUR,MEJA,ALLAHABAD,UTTAR PRADESH,#N/A
